Nature (classification) ,Case # ,Location(s) ,Date/Time Reported ,Date/Time Occurred (start) ,Time,Day of Week,Date/Time Occurred (end) ,disposition 
Harassment ,18-0001 ,Off Campus ,01/02/2018 12:26 p.m. ,12/11/2017,midnight ,Monday,01/02/2018 midnight ,Inactive 
Weapons Violations (Clery) ,18-0002 ,McMurtry College ,01/02/2018 4 p.m. ,12/21/2017,midnight ,Thursday,01/03/2018 7:30 a.m. ,Judicial Referral 
Theft ,18-0005 ,BRC ,01/05/2018 4:47 p.m. ,1/5/2018,1 p.m. ,Friday,01/05/2018 4:45 p.m. ,Inactive 
Criminal Trespass ,18-0006 ,North Colleges ,01/05/2018 11:11 p.m. ,1/5/2018,11 p.m. ,Friday,01/06/2018 1 a.m. ,Criminal Arrest 
Theft ,18-0007 ,Rice Village Apartments ,01/07/2018 11:45 a.m. ,12/8/2017,midnight ,Friday,01/07/2018 midnight ,Inactive 
Robbery (Clery) ,18-0008 ,Off Campus ,01/07/2018 10:04 p.m. ,1/7/2018,9:30 p.m. ,Sunday,01/07/2018 10 p.m. ,Referred other jurisdiction 
Theft ,18-0011 ,Keck Hall ,01/08/2018 4:50 p.m. ,1/8/2018,2 a.m. ,Monday,01/08/2018 5 a.m. ,Inactive 
Warrants ,18-0015 ,Tudor Field House ,01/10/2018 10:28 p.m. ,1/10/2018,10:25 p.m. ,Wednesday,01/10/2018 10:30 p.m. ,Criminal Arrest 
Theft ,18-0016 ,Duncan Hall ,01/11/2018 2:19 p.m. ,1/11/2018,noon ,Thursday,01/19/2018 noon ,Cleared 
Theft ,18-0017 ,Jesse H. Jones School ,01/11/2018 7:46 p.m. ,1/11/2018,9 a.m. ,Thursday,01/11/2018 7 p.m. ,Inactive 
Criminal Mischief ,18-0018 ,West Lot ,01/12/2018 10:53 a.m. ,1/9/2018,12:32 p.m. ,Tuesday,01/12/2018 11:12 a.m. ,Inactive 
Criminal Trespass ,18-0020 ,Greenbriar Lot ,01/13/2018 9:03 a.m. ,1/13/2018,9:03 a.m. ,Saturday,01/13/2018 12:30 p.m. ,Criminal Arrest 
Burglary (Clery) ,18-0021 ,Rice Stadium ,01/13/2018 12:22 p.m. ,1/12/2018,midnight ,Friday,01/13/2018 12:15 p.m. ,Criminal Arrest 
Criminal Trespass ,18-0022 ,Tudor Field House ,01/13/2018 4:10 p.m. ,1/13/2018,4:11 p.m. ,Saturday,01/13/2018 4:44 p.m. ,Criminal Arrest 
Criminal Mischief ,18-0023 ,Rice Stadium ,01/13/2018 3:58 p.m. ,1/12/2018,3 p.m. ,Friday,01/13/2018 2:30 p.m. ,Inactive 
Criminal Mischief ,18-0025 ,West Lot ,01/14/2018 1:53 a.m. ,8/27/2017,midnight ,Sunday,01/14/2018 2:04 a.m. ,Inactive 
Theft ,18-0028 ,Martel College ,01/15/2018 3:27 p.m. ,12/10/2017,6 p.m. ,Sunday,01/15/2018 3 p.m. ,Inactive 
Criminal Mischief ,18-0031 ,Founders Court Drive ,01/17/2018 11:30 a.m. ,1/16/2018,6 p.m. ,Tuesday,01/17/2018 11:30 a.m. ,Inactive 
Failure to Stop and Give Information ,18-0032 ,West Lot ,01/18/2018 12:12 p.m. ,1/12/2018,3 p.m. ,Friday,01/18/2018 12:12 p.m. ,Inactive 
Fraud ,18-0033 ,Sid Richardson College ,01/19/2018 2:45 p.m. ,5/1/2017,8 a.m. ,Monday,01/19/2018 2 p.m. ,Inactive 
Public Intoxication ,18-0036 ,Willys Pub ,01/20/2018 12:11 a.m. ,1/20/2018,12:11 a.m. ,Saturday,01/20/2018 3:37 a.m. ,Cleared 
Theft ,18-0038 ,Herzstein Hall ,01/22/2018 9:29 a.m. ,1/22/2018,9:29 a.m. ,Monday,01/22/2018 11:18 a.m. ,Inactive 
Harassment ,18-0039 ,Off Campus ,01/22/2018 noon ,1/22/2018,noon ,Monday,01/22/2018 12:32 p.m. ,Inactive 
Failure to Stop and Give Information ,18-0040 ,West Lot ,01/23/2018 4:17 p.m. ,1/18/2018,9 p.m. ,Thursday,01/20/2018 11:30 a.m. ,Inactive 
Theft ,18-0041 ,Brown College ,01/23/2018 2:48 p.m. ,1/23/2018,2:45 p.m. ,Tuesday,01/23/2018 3:15 p.m. ,Inactive 
Criminal Trespass ,18-0042 ,Turrell Skyscape ,01/23/2018 2:12 p.m. ,1/23/2018,2 p.m. ,Tuesday,01/23/2018 3:28 p.m. ,Criminal Arrest 
Assault ,18-0044 ,Academic Quad ,01/24/2018 4:53 p.m. ,1/11/2018,7 a.m. ,Thursday,01/24/2018 4:50 p.m. ,Judicial Referral 
Harassment ,18-0047 ,Off Campus ,01/26/2018 2:03 p.m. ,5/1/2017,8 a.m. ,Monday,01/26/2018 2:03 p.m. ,Inactive 
Fraud ,18-0049 ,Allen Center ,01/26/2018 5:19 p.m. ,1/26/2018,3 p.m. ,Friday,01/26/2018 3:30 p.m. ,Inactive 
Theft ,18-0050 ,Off Campus ,01/26/2018 11:53 p.m. ,1/26/2018,10 p.m. ,Friday,01/27/2018 midnight ,Referred other jurisdiction 
Criminal Trespass ,18-0052 ,Fondren Library ,01/28/2018 3:47 p.m. ,1/28/2018,3:47 p.m. ,Sunday,01/28/2018 5:16 p.m. ,Inactive 
Criminal Trespass ,18-0054 ,Rec Center ,01/29/2018 4:03 p.m. ,1/29/2018,4:04 p.m. ,Monday,01/29/2018 4:30 p.m. ,County Citiation 
Driving While License is Invalid ,18-0055 ,West Lot ,01/29/2018 5 p.m. ,1/29/2018,5 p.m. ,Monday,01/29/2018 7:46 p.m. ,Criminal Arrest 
Theft ,18-0056 ,Duncan Hall ,01/29/2018 8:31 p.m. ,1/29/2018,6 p.m. ,Monday,01/29/2018 8 p.m. ,Inactive 
Theft ,18-0057 ,Rice Memorial Center ,01/30/2018 1:21 a.m. ,1/29/2018,6 p.m. ,Monday,01/30/2018 midnight ,Inactive 
Theft ,18-0058 ,Fondren Library ,01/30/2018 10:45 a.m. ,1/29/2018,3 p.m. ,Monday,01/29/2018 6 p.m. ,Inactive 
Criminal Trespass ,18-0059 ,Fondren Library ,01/31/2018 7:36 a.m. ,1/31/2018,7:30 a.m. ,Wednesday,01/31/2018 8:16 a.m. ,Inactive 
Criminal Mischief ,18-0061 ,A. P. Brown Hall ,02/01/2018 10:19 a.m. ,1/28/2018,9 a.m. ,Sunday,01/30/2018 5:45 p.m. ,Judicial Referral 
Criminal Mischief ,18-0063 ,Allen Center ,02/01/2018 11:30 a.m. ,12/15/2017,8 a.m. ,Friday,01/30/2018 noon ,Inactive 
Theft ,18-0066 ,BRC ,02/03/2018 7:47 p.m. ,2/3/2018,12:30 p.m. ,Saturday,02/03/2018 4 p.m. ,Inactive 
Harassment ,18-0067 ,Brown College ,02/04/2018 9:48 p.m. ,2/4/2018,2:30 a.m. ,Sunday,02/04/2018 11:04 p.m. ,Judicial Referral 
Criminal Trespass ,18-0068 ,BRC ,02/05/2018 11:19 a.m. ,2/5/2018,11:19 a.m. ,Monday,02/05/2018 11:52 a.m. ,County Citiation 
Failure to Stop and Give Information ,18-0070 ,North Lot ,02/05/2018 6:30 p.m. ,2/5/2018,6:15 p.m. ,Monday,02/05/2018 6:30 p.m. ,Inactive 
Theft ,18-0073 ,Brown College ,02/08/2018 2:23 p.m. ,2/8/2018,2:24 p.m. ,Thursday,02/08/2018 3:01 p.m. ,Criminal Arrest 
Harassment ,18-0074 ,Off Campus ,02/08/2018 2:44 p.m. ,2/27/2017,midnight ,Monday,02/08/2018 midnight ,Inactive 
Theft ,18-0075 ,Humanities ,02/09/2018 11:03 a.m. ,2/7/2018,8:50 a.m. ,Wednesday,02/07/2018 6 p.m. ,Inactive 
Harassment ,18-0077 ,Off Campus ,02/09/2018 5:30 p.m. ,2/9/2018,6 p.m. ,Friday,02/09/2018 7 p.m. ,Inactive 
Criminal Mischief ,18-0078 ,West Lot ,02/09/2018 7:12 p.m. ,2/3/2018,midnight ,Saturday,02/09/2018 midnight ,Inactive 
Public Intoxication ,18-0079 ,Jones College ,02/10/2018 1:21 a.m. ,2/10/2018,1:20 a.m. ,Saturday,02/10/2018 3:38 a.m. ,Inactive 
Weapons Violations (Clery) ,18-0081 ,Fondren Library ,02/13/2018 6:13 a.m. ,2/13/2018,6:13 a.m. ,Tuesday,02/13/2018 6:38 a.m. ,Criminal Arrest 
Theft ,18-0082 ,Brown College ,02/13/2018 8:20 p.m. ,2/13/2018,6:30 p.m. ,Tuesday,02/13/2018 6:35 p.m. ,Inactive 
Theft ,18-0087 ,Duncan College ,02/18/2018 1:45 a.m. ,2/17/2018,10 p.m. ,Saturday,02/18/2018 2:45 a.m. ,Inactive 
Warrants ,18-0088 ,Duncan Hall ,02/19/2018 12:49 a.m. ,2/19/2018,12:50 a.m. ,Monday,02/19/2018 1:44 a.m. ,Criminal Arrest 
Theft ,18-0090 ,Rec Center ,02/19/2018 4:38 p.m. ,2/16/2018,8 a.m. ,Friday,02/18/2018 5 p.m. ,Inactive 
Theft ,18-0092 ,Will Rice College ,02/20/2018 8:37 a.m. ,2/18/2018,2 p.m. ,Sunday,02/18/2018 9:30 p.m. ,Inactive 
Theft ,18-0093 ,Baker Hall ,02/21/2018 3:52 p.m. ,2/20/2018,2 p.m. ,Tuesday,02/20/2018 8 p.m. ,Inactive 
Fraud ,18-0094 ,BRC ,02/21/2018 4:12 p.m. ,2/21/2018,8 a.m. ,Wednesday,02/21/2018 4 p.m. ,Inactive 
Burglary of a Motor Vehicle ,18-0098 ,South Colleges Lot ,02/24/2018 1:01 p.m. ,2/24/2018,12:45 a.m. ,Saturday,02/24/2018 1:30 p.m. ,Inactive 
Harassment ,18-0099 ,Brown College ,02/24/2018 3:38 p.m. ,2/24/2018,3:25 p.m. ,Saturday,02/24/2018 4:45 p.m. ,Inactive 
Public Intoxication ,18-0100 ,West Lot ,02/25/2018 12:05 a.m. ,2/25/2018,12:05 a.m. ,Sunday,02/25/2018 1:02 a.m. ,Criminal Arrest 
Warrants ,18-0102 ,Laboratory Road ,02/25/2018 11:11 p.m. ,2/25/2018,11:11 p.m. ,Sunday,02/26/2018 12:01 a.m. ,Criminal Arrest 
Disorderly Conduct ,18-0104 ,Central Plant ,02/26/2018 12:42 a.m. ,2/26/2018,12:42 a.m. ,Monday,02/26/2018 1:16 a.m. ,County Citiation 
Theft ,18-0105 ,West Lot ,02/26/2018 4:43 p.m. ,2/26/2018,4:43 p.m. ,Monday,02/26/2018 5:05 p.m. ,Cleared 
Harassment ,18-0109 ,George R. Brown Hall ,02/28/2018 8:10 a.m. ,12/20/2017,12:01 a.m. ,Wednesday,02/27/2018 11:59 p.m. ,Inactive 
Harassment ,18-0112 ,Allen Center ,03/02/2018 12:32 p.m. ,3/1/2018,10:01 p.m. ,Thursday,03/02/2018 1:02 a.m. ,Cleared 
Fraud ,18-0113 ,Off Campus ,03/02/2018 1:24 p.m. ,3/2/2018,midnight ,Friday,03/02/2018 midnight ,Inactive 
Theft ,18-0114 ,A. P. Brown Hall ,02/27/2018 11:08 p.m. ,11/1/2017,midnight ,Wednesday,03/02/2018 10:30 p.m. ,Inactive 
Criminal Trespass ,18-0116 ,Rayzor Hall ,03/03/2018 11:01 p.m. ,3/3/2018,11 p.m. ,Saturday,03/03/2018 11:49 p.m. ,County Citiation 
Criminal Trespass ,18-0117 ,Lovett College ,03/04/2018 3:25 a.m. ,3/4/2018,3:25 a.m. ,Sunday,03/04/2018 3:30 a.m. ,County Citiation 
Criminal Trespass ,18-0118 ,Brochstein Pavilion ,03/04/2018 6:03 p.m. ,3/4/2018,6:03 p.m. ,Sunday,03/04/2018 7:06 p.m. ,County Citiation 
Criminal Mischief ,18-0121 ,Valhalla ,03/05/2018 5:14 p.m. ,3/4/2018,6:05 p.m. ,Sunday,03/04/2018 6:39 p.m. ,Inactive 
Criminal Trespass ,18-0122 ,Tudor Field House ,03/07/2018 12:29 p.m. ,3/6/2018,9 a.m. ,Tuesday,03/06/2018 10 a.m. ,Inactive 
Driving Without a License ,18-0124 ,Off Campus ,03/08/2018 7:26 a.m. ,3/8/2018,7:26 a.m. ,Thursday,03/08/2018 8:34 a.m. ,Criminal Arrest 
Failure to Stop and Give Information ,18-0126 ,Moody Lot ,03/08/2018 3:47 p.m. ,3/8/2018,10 a.m. ,Thursday,03/08/2018 3:44 p.m. ,Inactive 
Fraud ,18-0132 ,Lovett College ,03/15/2018 12:17 a.m. ,2/27/2018,8 a.m. ,Tuesday,03/14/2018 4:52 p.m. ,Inactive 
Burglary (Clery) ,18-0133 ,McMurtry College ,03/15/2018 1:43 p.m. ,3/9/2018,midnight ,Friday,03/13/2018 midnight ,Inactive 
Burglary of a Motor Vehicle ,18-0135 ,West Servery ,03/16/2018 10:12 a.m. ,3/16/2018,10:05 a.m. ,Friday,03/16/2018 10:10 a.m. ,Inactive 
Criminal Trespass ,18-0137 ,Cohen House ,03/19/2018 5:34 p.m. ,3/19/2018,5:30 p.m. ,Monday,03/19/2018 5:35 p.m. ,County Citiation 
Fraud ,18-0138 ,Off Campus ,03/19/2018 8:22 p.m. ,3/17/2018,midnight ,Saturday,03/19/2018 midnight ,Inactive 
Theft ,18-0139 ,Hanszen College ,03/20/2018 11:02 a.m. ,3/12/2018,11:45 p.m. ,Monday,03/20/2018 11 a.m. ,Inactive 
Driving While License is Invalid ,18-0140 ,Off Campus ,03/20/2018 4:43 p.m. ,3/20/2018,4:43 p.m. ,Tuesday,03/20/2018 6:42 p.m. ,Criminal Arrest 
Theft ,18-0141 ,Ryon Lab ,03/20/2018 8:16 p.m. ,3/18/2018,9 p.m. ,Sunday,03/19/2018 2 p.m. ,Inactive 
Theft ,18-0142 ,Jones College ,03/20/2018 2:52 p.m. ,3/19/2018,11 a.m. ,Monday,03/20/2018 9 a.m. ,Inactive 
Criminal Trespass ,18-0143 ,Willys Pub ,03/20/2018 9:58 p.m. ,3/20/2018,11:55 p.m. ,Tuesday,03/21/2018 12:05 a.m. ,Judicial Referral 
Criminal Trespass ,18-0149 ,Lovett College ,03/25/2018 10:35 p.m. ,3/25/2018,10:40 p.m. ,Sunday,03/25/2018 11:15 p.m. ,County Citiation 
Assault ,18-0150 ,Track Stadium ,03/26/2018 11:37 a.m. ,3/22/2018,11 a.m. ,Thursday,03/22/2018 1 p.m. ,Inactive 
Assault ,18-0152 ,Willys Pub ,03/22/2018 11:05 p.m. ,3/23/2018,1 a.m. ,Friday,03/23/2018 1:15 a.m. ,Inactive 
Criminal Trespass ,18-0153 ,Fondren Library ,03/26/2018 7:44 p.m. ,3/26/2018,7:44 p.m. ,Monday,03/26/2018 9:55 p.m. ,County Citiation 
Criminal Mischief ,18-0157 ,North Lot ,03/31/2018 7:49 p.m. ,3/31/2018,7:49 p.m. ,Saturday,03/31/2018 8:48 p.m. ,Inactive 
Failure to Stop and Give Information ,18-0158 ,West Lot ,04/02/2018 12:45 p.m. ,4/2/2018,8 a.m. ,Monday,04/02/2018 12:40 p.m. ,Inactive 
Criminal Trespass ,18-0160 ,Cambridge Building ,04/03/2018 7:53 p.m. ,4/3/2018,7:53 p.m. ,Tuesday,04/03/2018 9:07 p.m. ,Criminal Arrest 
Theft ,18-0162 ,IBC Building-5615 Kirby ,04/03/2018 2:35 p.m. ,4/2/2018,11 a.m. ,Monday,04/03/2018 2:30 p.m. ,Inactive 
Assault ,18-0163 ,Rice Village Apartments ,04/04/2018 11:47 a.m. ,4/3/2018,10 p.m. ,Tuesday,04/03/2018 11 p.m. ,Inactive 
Burglary of a Motor Vehicle ,18-0164 ,Off Campus ,04/05/2018 12:29 p.m. ,4/4/2018,9 p.m. ,Wednesday,04/04/2018 9:10 p.m. ,Inactive 
Unauthorized Use of a Motor Vehicle (Clery) ,18-0165 ,BRC ,04/05/2018 3:05 p.m. ,4/5/2018,6:45 a.m. ,Thursday,04/05/2018 2:30 p.m. ,Inactive 
Theft ,18-0166 ,Allen Center ,04/06/2018 2:08 p.m. ,4/6/2018,3:32 p.m. ,Friday,04/06/2018 3:44 p.m. ,Inactive 
Theft ,18-0167 ,A. P. Brown Hall ,04/06/2018 9:53 p.m. ,4/6/2018,6:30 p.m. ,Friday,04/06/2018 8:10 p.m. ,Inactive 
Theft ,18-0168 ,Anderson Hall ,04/07/2018 3:50 a.m. ,4/7/2018,1:30 a.m. ,Saturday,04/07/2018 3:45 a.m. ,Inactive 
Warrants ,18-0169 ,BRC ,04/09/2018 10:34 a.m. ,4/9/2018,10:34 a.m. ,Monday,04/09/2018 3 p.m. ,Criminal Arrest 
Criminal Mischief ,18-0171 ,West Lot ,04/10/2018 9:43 a.m. ,4/9/2018,8:45 a.m. ,Monday,04/10/2018 9 a.m. ,Inactive 
Theft ,18-0172 ,Fondren Library ,04/10/2018 10:31 a.m. ,4/9/2018,7:45 p.m. ,Monday,04/10/2018 1:15 a.m. ,Inactive 
Interference With Public Duties ,18-0177 ,A. P. Brown Hall ,04/12/2018 7:50 p.m. ,4/12/2018,9:05 p.m. ,Thursday,04/12/2018 9:13 p.m. ,Citation - Judicial Referral 
Theft ,18-0178 ,Will Rice College ,04/13/2018 1:49 a.m. ,4/11/2018,6 p.m. ,Wednesday,04/12/2018 7 a.m. ,Inactive 
Criminal Mischief ,18-0180 ,Rayzor Hall ,04/15/2018 2:12 a.m. ,4/14/2018,10:10 p.m. ,Saturday,04/15/2018 2:15 a.m. ,Inactive 
Disorderly Conduct ,18-0181 ,Soft Sidewalk ,04/15/2018 11:04 a.m. ,4/15/2018,11:04 a.m. ,Sunday,04/15/2018 11:39 a.m. ,Inactive 
Theft ,18-0183 ,Wiess College ,04/16/2018 3:23 p.m. ,4/2/2018,noon ,Monday,04/05/2018 midnight ,Inactive 
Theft ,18-0184 ,Sid Richardson College ,04/16/2018 3:36 p.m. ,4/15/2018,7:45 p.m. ,Sunday,04/16/2018 8 a.m. ,Inactive 
Fraud ,18-0185 ,Wiess College ,04/16/2018 7:56 p.m. ,4/12/2018,midnight ,Thursday,04/16/2018 5 p.m. ,Inactive 
Criminal Mischief ,18-0187 ,Greenbriar Lot ,04/17/2018 10:57 a.m. ,4/16/2018,2:42 p.m. ,Monday,04/16/2018 2:42 p.m. ,Inactive 
Criminal Mischief ,18-0189 ,South Servery ,04/18/2018 10:37 a.m. ,4/13/2018,midnight ,Friday,04/13/2018 midnight ,Inactive 
Criminal Trespass ,18-0191 ,Rice Memorial Center ,04/18/2018 6:35 p.m. ,4/17/2018,9:30 p.m. ,Tuesday,04/19/2018 4:54 p.m. ,Inactive 
Criminal Mischief ,18-0192 ,Greenbriar Annex Building ,04/19/2018 2:54 p.m. ,4/18/2018,8 a.m. ,Wednesday,04/18/2018 7 p.m. ,Inactive 
Theft ,18-0194 ,Rice Memorial Center ,04/19/2018 9:09 p.m. ,4/19/2018,5 p.m. ,Thursday,04/19/2018 5 p.m. ,Inactive 
Theft ,18-0197 ,Cambridge Building ,04/20/2018 3:09 p.m. ,4/20/2018,3:11 p.m. ,Friday,04/20/2018 3:38 p.m. ,Inactive 
Criminal Mischief ,18-0200 ,A. P. Brown Hall ,04/21/2018 4:41 p.m. ,12/1/2017,midnight ,Friday,04/20/2018 7:30 p.m. ,Inactive 
Theft ,18-0204 ,Brown College ,04/25/2018 10:45 a.m. ,12/18/2017,midnight ,Monday,01/09/2018 midnight ,Inactive 
Harassment ,18-0206 ,Off Campus ,04/26/2018 11:10 a.m. ,4/13/2018,midnight ,Friday,04/26/2018 midnight ,Cleared 
Theft ,18-0211 ,West Lot ,04/28/2018 2:17 p.m. ,4/24/2018,7 p.m. ,Tuesday,04/28/2018 8:30 a.m. ,Inactive 
Theft ,18-0212 ,Lovett College ,04/28/2018 8:01 p.m. ,4/28/2018,5 p.m. ,Saturday,04/28/2018 7:30 p.m. ,Cleared 
Theft ,18-0213 ,Martel College ,04/28/2018 7:23 p.m. ,4/28/2018,2 p.m. ,Saturday,04/28/2018 6 p.m. ,Cleared 
Theft ,18-0214 ,Duncan College ,04/30/2018 2:27 p.m. ,4/21/2018,3 p.m. ,Saturday,04/30/2018 12:30 p.m. ,Inactive 
Criminal Mischief ,18-0215 ,BRC ,04/30/2018 3:45 p.m. ,4/30/2018,6:55 a.m. ,Monday,04/30/2018 3:30 p.m. ,Inactive 
Burglary of a Motor Vehicle ,18-0217 ,Rice Child Care Center ,05/01/2018 6:05 p.m. ,5/1/2018,5:50 p.m. ,Tuesday,05/01/2018 6 p.m. ,Inactive 
Criminal Mischief ,18-0218 ,West Lot ,05/02/2018 12:18 a.m. ,5/2/2018,midnight ,Wednesday,05/02/2018 midnight ,Inactive 
Fraud ,18-0220 ,Off Campus ,05/02/2018 9:40 a.m. ,5/2/2018,9:42 a.m. ,Wednesday,05/02/2018 10:40 a.m. ,Inactive 
Harassment ,18-0221 ,Housing and Dining ,05/03/2018 4:46 p.m. ,5/3/2018,3:47 p.m. ,Thursday,05/03/2018 4:46 p.m. ,Inactive 
Criminal Trespass ,18-0222 ,Rice Stadium ,05/04/2018 12:49 a.m. ,5/4/2018,12:45 a.m. ,Friday,05/04/2018 1 a.m. ,Judicial Referral 
Harassment ,18-0223 ,Off Campus ,05/04/2018 9:20 a.m. ,5/4/2018,midnight ,Friday,05/04/2018 midnight ,Inactive 
Criminal Trespass ,18-0224 ,Rice Stadium ,05/05/2018 12:52 a.m. ,5/5/2018,12:52 a.m. ,Saturday,05/05/2018 1:16 a.m. ,Judicial Referral 
Theft ,18-0226 ,Rice Village Apartments ,05/08/2018 2:17 p.m. ,4/30/2018,4 p.m. ,Monday,05/05/2018 9 a.m. ,Inactive 
Burglary of a Motor Vehicle ,18-0227 ,Greenbriar Lot ,05/08/2018 5:25 p.m. ,5/3/2018,1:30 p.m. ,Thursday,05/03/2018 8 p.m. ,Inactive 
Theft ,18-0229 ,Sid Richardson College ,05/10/2018 12:12 a.m. ,5/9/2018,5:10 p.m. ,Wednesday,05/10/2018 12:01 a.m. ,Inactive 
Theft ,18-0232 ,Reckling Park ,05/14/2018 5:28 p.m. ,5/13/2018,10:30 a.m. ,Sunday,05/13/2018 5:30 p.m. ,Inactive 
Theft ,18-0233 ,Lovett College ,05/01/2018 9:40 p.m. ,4/1/2018,midnight ,Sunday,05/01/2018 midnight ,Inactive 
Criminal Mischief ,18-0236 ,Greenbriar Lot ,05/17/2018 1:21 p.m. ,5/17/2018,1 p.m. ,Thursday,05/17/2018 1:20 p.m. ,Inactive 
Theft ,18-0238 ,Brown College ,05/20/2018 12:21 a.m. ,5/3/2018,5 a.m. ,Thursday,05/03/2018 10:30 a.m. ,Inactive 
Fraud ,18-0241 ,Mudd Lab ,05/23/2018 11:46 a.m. ,5/16/2018,midnight ,Wednesday,06/20/2018 midnight ,Inactive 
Theft ,18-0245 ,McMurtry College ,05/27/2018 10:17 p.m. ,5/27/2018,5:30 p.m. ,Sunday,05/27/2018 10:15 p.m. ,Inactive 
Sex Offenses (Non-Forcible) (Clery) ,18-0247 ,Off Campus ,05/28/2018 7:26 p.m. ,5/27/2018,11 p.m. ,Sunday,05/28/2018 midnight ,Inactive 
Criminal Mischief ,18-0250 ,Greenbriar Lot ,05/29/2018 10 p.m. ,5/29/2018,9:54 p.m. ,Tuesday,05/29/2018 9:54 p.m. ,Inactive 
Criminal Mischief ,18-0253 ,Greenbriar Lot ,06/04/2018 2:01 p.m. ,6/1/2018,10:58 a.m. ,Friday,06/01/2018 10:58 a.m. ,Judicial Referral 
Theft ,18-0254 ,Sid Richardson College ,06/04/2018 1:27 p.m. ,6/1/2018,12:01 a.m. ,Friday,05/31/2018 3 p.m. ,Inactive 
Theft ,18-0255 ,Baker College ,06/05/2018 5:08 p.m. ,6/5/2018,noon ,Tuesday,06/05/2018 3 p.m. ,Inactive 
Theft ,18-0256 ,Lovett Hall ,06/06/2018 5:17 p.m. ,6/5/2018,6 p.m. ,Tuesday,06/06/2018 3 p.m. ,Inactive 
Criminal Mischief ,18-0259 ,North Annex Lot ,06/08/2018 4:08 a.m. ,6/8/2018,3:30 a.m. ,Friday,06/08/2018 4:07 a.m. ,Inactive 
Theft ,18-0260 ,BRC ,06/08/2018 3:34 p.m. ,6/5/2018,midnight ,Tuesday,06/06/2018 midnight ,Inactive 
Sex Offenses (Non-Forcible) (Clery) ,18-0261 ,Entrance #18 ,06/13/2018 12:54 p.m. ,6/13/2018,12:30 p.m. ,Wednesday,06/13/2018 1 p.m. ,Criminal Arrest 
Warrants ,18-0262 ,Fondren Library ,06/14/2018 3:56 p.m. ,6/14/2018,3:55 p.m. ,Thursday,06/14/2018 5:14 p.m. ,Criminal Arrest 
Criminal Trespass ,18-0263 ,Wiess College ,06/19/2018 12:16 a.m. ,6/19/2018,12:17 a.m. ,Tuesday,06/19/2018 12:55 a.m. ,County Citiation 
Criminal Trespass ,18-0264 ,Lovett Hall ,06/19/2018 11 p.m. ,6/19/2018,11 p.m. ,Tuesday,06/20/2018 midnight ,County Citiation 
Harassment ,18-0266 ,Brockman Engineering Building ,06/29/2018 9:23 a.m. ,1/1/2018,midnight ,Monday,06/29/2018 midnight ,Inactive 
Fraud ,18-0267 ,Off Campus ,06/29/2018 10:11 a.m. ,6/25/2018,12:01 a.m. ,Monday,06/25/2018 11:59 p.m. ,Inactive 
Theft ,18-0268 ,Cambridge Building ,06/28/2018 9:51 a.m. ,6/14/2018,midnight ,Thursday,06/16/2018 midnight ,Inactive 
Warrants ,18-0269 ,Off Campus ,06/30/2018 7:35 p.m. ,6/30/2018,7:35 p.m. ,Saturday,06/30/2018 8:45 p.m. ,Criminal Arrest 
Theft ,18-0271 ,McMurtry College ,07/01/2018 4:01 a.m. ,6/29/2018,6 a.m. ,Friday,06/29/2018 5:30 p.m. ,Inactive 
Failure to Stop and Give Information ,18-0273 ,West Lot ,07/02/2018 3:36 p.m. ,6/29/2018,5:45 a.m. ,Friday,07/29/2018 3 p.m. ,Inactive 
Criminal Trespass ,18-0277 ,Greenbriar Lot ,07/03/2018 4:52 p.m. ,7/3/2018,4:52 p.m. ,Tuesday,07/03/2018 5:55 p.m. ,County Citiation 
Criminal Trespass ,18-0281 ,Brown College ,07/07/2018 12:50 a.m. ,7/7/2018,12:50 a.m. ,Saturday,07/07/2018 1:38 a.m. ,Cleared 
Criminal Trespass ,18-0282 ,BRC ,07/07/2018 1:43 a.m. ,7/7/2018,1:43 a.m. ,Saturday,07/07/2018 2:04 a.m. ,County Citiation 
Assault ,18-0283 ,McMurtry College ,07/08/2018 7:03 p.m. ,7/8/2018,7:03 p.m. ,Sunday,07/08/2018 8 p.m. ,Criminal Arrest 
Burglary of a Motor Vehicle ,18-0284 ,Brown College ,07/08/2018 10:08 p.m. ,7/8/2018,7:03 p.m. ,Sunday,07/08/2018 10:52 p.m. ,Criminal Arrest 
Theft ,18-0285 ,Rice Village Apartments ,07/10/2018 12:31 p.m. ,7/6/2018,9 p.m. ,Friday,07/07/2018 10 a.m. ,Inactive 
Terroristic Threat ,18-0286 ,West Lot ,07/10/2018 3:47 p.m. ,7/10/2018,3 p.m. ,Tuesday,07/10/2018 3:05 p.m. ,Inactive 
Theft ,18-0288 ,Fondren Library ,07/12/2018 5:32 p.m. ,7/12/2018,4 p.m. ,Thursday,07/12/2018 4:45 p.m. ,Inactive 
Theft ,18-0289 ,Facilities &amp; Engineering ,07/13/2018 7:31 p.m. ,6/1/2018,noon ,Friday,07/13/2018 7:31 p.m. ,Inactive 
Failure to Stop and Give Information ,18-0290 ,Cambridge Building ,07/16/2018 9:17 a.m. ,7/13/2018,9:15 a.m. ,Friday,07/13/2018 5:30 p.m. ,Inactive 
Failure to Stop and Give Information ,18-0292 ,West Lot ,07/16/2018 1:08 p.m. ,7/16/2018,9:30 a.m. ,Monday,07/16/2018 1:05 p.m. ,Inactive 
