Nature (classification) ,Case # ,Location(s) ,Date/Time Reported ,Date/Time Occurred (start) ,Time,Day of Week,Date/Time Occurred (end) ,disposition 
Theft ,21-0030 ,Jones College ,02/22/2021 3:29 p.m. ,3/10/2020,midnight ,Tuesday,02/22/2021 midnight ,Inactive 
Theft ,21-0031 ,Greenbriar Annex Building ,02/22/2021 4:47 p.m. ,2/22/2021,3:50 p.m. ,Monday,02/22/2021 4:47 p.m. ,Inactive 
Theft ,21-0033 ,Martel College ,02/26/2021 12:25 a.m. ,1/26/2021,midnight ,Tuesday,02/26/2021 midnight ,Inactive 
Criminal Mischief ,21-0034 ,South Colleges Lot ,02/26/2021 9:41 a.m. ,2/25/2021,midnight ,Thursday,02/26/2021 9 a.m. ,Inactive 
Fraud ,21-0038 ,Off Campus ,03/03/2021 2:52 p.m. ,3/1/2021,midnight ,Monday,03/02/2021 midnight ,Inactive 
Fraud ,21-0039 ,Off Campus ,03/03/2021 6:37 p.m. ,2/23/2021,midnight ,Tuesday,02/23/2021 midnight ,Inactive 
Fraud ,21-0041 ,Rice Village Apartments ,03/03/2021 11:03 p.m. ,2/20/2021,midnight ,Saturday,02/26/2021 midnight ,Inactive 
Theft ,21-0043 ,Mudd Lab ,03/08/2021 5:31 a.m. ,3/4/2021,3:30 p.m. ,Thursday,03/08/2021 5:30 a.m. ,Inactive 
Fraud ,21-0044 ,Off Campus ,03/08/2021 3:06 p.m. ,3/1/2021,noon ,Monday,03/01/2021 noon ,Inactive 
Criminal Mischief ,21-0046 ,BRC ,03/08/2021 6:20 p.m. ,3/8/2021,6:20 p.m. ,Monday,03/08/2021 7 p.m. ,Criminal Arrest 
Fraud ,21-0047 ,Off Campus ,03/08/2021 7:56 p.m. ,3/3/2021,11:16 a.m. ,Wednesday,03/08/2021 7:53 p.m. ,Inactive 
Fraud ,21-0048 ,Off Campus ,03/12/2021 4:17 p.m. ,3/3/2021,midnight ,Wednesday,03/03/2021 midnight ,Inactive 
Criminal Trespass ,21-0049 ,Lovett College ,03/12/2021 10:21 p.m. ,3/12/2021,9:23 p.m. ,Friday,03/12/2021 10:23 p.m. ,Inactive 
Theft ,21-0050 ,Rice Village Apartments ,03/13/2021 8:18 a.m. ,3/11/2021,3 p.m. ,Thursday,03/12/2021 midnight ,Inactive 
Harassment ,21-0051 ,McMurtry College ,03/14/2021 10:18 a.m. ,1/9/2021,midnight ,Saturday,03/15/2021 midnight ,Inactive 
Theft ,21-0052 ,Brown College ,03/14/2021 6:26 p.m. ,3/10/2021,midnight ,Wednesday,03/14/2021 midnight ,Inactive 
Failure to Stop and Give Information ,21-0053 ,Greenbriar Lot ,03/15/2021 11:39 a.m. ,3/12/2021,4 p.m. ,Friday,03/12/2021 4 p.m. ,Inactive 
Unauthorized Use of a Motor Vehicle (Clery) ,21-0055 ,Baker College ,03/16/2021 2:30 a.m. ,3/16/2021,2:30 a.m. ,Tuesday,03/16/2021 2:52 a.m. ,County Citiation 
Burglary of a Motor Vehicle ,21-0056 ,BRC ,03/16/2021 7:57 a.m. ,3/15/2021,11 p.m. ,Monday,03/16/2021 6:30 a.m. ,Inactive 
Burglary of a Motor Vehicle ,21-0057 ,BRC ,03/16/2021 1:31 p.m. ,3/15/2021,11 p.m. ,Monday,03/16/2021 1:31 p.m. ,Inactive 
Fraud ,21-0058 ,Duncan College ,03/16/2021 2:54 p.m. ,3/16/2021,1:30 p.m. ,Tuesday,03/16/2021 2 p.m. ,Inactive 
Theft ,21-0059 ,Rec Center ,03/18/2021 8:20 a.m. ,3/18/2021,6 a.m. ,Thursday,03/18/2021 7:15 a.m. ,Inactive 
